p
"[{categoryName:Series},{},{categoryName:TV shows}]"
"[{categoryName:Documentary},{},{categoryName:TV shows}]"
"[{categoryName:Reality & Talk shows},{},{categoryName:TV shows}]"
"[{topicName:World War II in color},{},{categoryName:Documentary}]"
"[{topicName:Count Down To Death: Paoulo},{},{categoryName:Documentary}]"
"[{topicName:BlackMirror},{},{categoryName:Series}]"
"[{topicName:Tarak Mehta},{},{categoryName:Series}]"
"[{topicName:Sacred games},{},{categoryName:Series}]"
"[{topicName:Narcos},{},{categoryName:Series}]"
"[{topicName:Pokemon},{},{categoryName:Series}]"
"[{topicName:Dragon Ball Z},{},{categoryName:Series}]"
"[{topicName:How I Met Your Mother},{},{categoryName:Series}]"
"[{topicName:Mirzapur},{},{categoryName:Series}]"
"[{topicName:Stranger Things},{},{categoryName:Series}]"
"[{topicName:Arrow},{},{categoryName:Series}]"
"[{topicName:Sherlock},{},{categoryName:Series}]"
"[{topicName:Friends},{},{categoryName:Series}]"
"[{topicName:Breaking Bad},{},{categoryName:Series}]"
"[{topicName:One Piece},{},{categoryName:Series}]"
"[{topicName:Beauty And Beast},{},{categoryName:Series}]"
"[{topicName:Heroes},{},{categoryName:Series}]"
"[{topicName:Family Guy},{},{categoryName:Series}]"
"[{topicName:LUST stories},{},{categoryName:Series}]"
"[{topicName:Koffee With karan},{},{categoryName:Reality & Talk shows}]"
"[{topicName:Death By Magic},{},{categoryName:Reality & Talk shows}]"
"[{topicName:Kapil Sharma Show},{},{categoryName:Reality & Talk shows}]"
"[{topicName:Race2},{},{genreName:Action}]"
"[{topicName:Baahubali},{},{genreName:Action}]"
"[{topicName:Mission Impossible},{},{genreName:Action}]"
"[{topicName:Fast & Furious},{},{genreName:Action}]"
"[{topicName:Doctor Strange},{},{genreName:Action}]"
"[{topicName:Mirzapur},{},{genreName:Action}]"
"[{topicName:Breaking Bad},{},{genreName:Action}]"
"[{topicName:Narcos},{},{genreName:Action}]"
"[{topicName:Death Note},{},{genreName:Thriller & Horror}]"
"[{topicName:The Walk},{},{genreName:Thriller & Horror}]"
"[{topicName:Lincoln Lawyer},{},{genreName:Thriller & Horror}]"
"[{topicName:Stranger Things},{},{genreName:Thriller & Horror}]"
"[{topicName:Sacred games},{},{genreName:Thriller & Horror}]"
"[{topicName:Sherlock},{},{genreName:Thriller & Horror}]"
"[{topicName:Oh My God},{},{genreName:Comedy}]"
"[{topicName:Piku},{},{genreName:Comedy}]"
"[{topicName:Chennai Express},{},{genreName:Comedy}]"
"[{topicName:Ted},{},{genreName:Comedy}]"
"[{topicName:Dictator},{},{genreName:Comedy}]"
"[{topicName:Family Guy},{},{genreName:Comedy}]"
"[{topicName:Tarak Mehta},{},{genreName:Comedy}]"
"[{topicName:Friends},{},{genreName:Comedy}]"
"[{topicName:Pokemon},{},{genreName:Anime}]"
"[{topicName:One Piece},{},{genreName:Anime}]"
"[{topicName:Dragon Ball Z},{},{genreName:Anime}]"
"[{topicName:Cars},{},{genreName:Anime}]"
"[{topicName:Cindrella},{},{genreName:Anime}]"
"[{topicName:Stuart Little},{},{genreName:Anime}]"
"[{topicName:Ajab Prem Ki Ghazab Kahani},{},{genreName:Romance}]"
"[{topicName:Ashiqui 2},{},{genreName:Romance}]"
"[{topicName:Dilwale Dulhaniya Le Jayenge},{},{genreName:Romance}]"
"[{topicName:Beauty And Beast},{},{genreName:Romance}]"
"[{topicName:LUST stories},{},{genreName:Romance}]"
"[{topicName:How I Met Your Mother},{},{genreName:Romance}]"
"[{topicName:Prince of Persia},{},{genreName:Sci-Fi & Fantasy}]"
"[{topicName:Gravity},{},{genreName:Sci-Fi & Fantasy}]"
"[{topicName:Heroes},{},{genreName:Sci-Fi & Fantasy}]"
"[{topicName:BlackMirror},{},{genreName:Sci-Fi & Fantasy}]"
"[{topicName:Arrow},{},{genreName:Sci-Fi & Fantasy}]"
"[{topicName:Rustom},{},{genreName:Drama}]"
"[{topicName:Drishyam},{},{genreName:Drama}]"
"[{topicName:LunchBox},{},{genreName:Drama}]"
"[{topicName:BajiraoMastani},{},{genreName:Historical}]"
"[{topicName:JodhaAkbar},{},{genreName:Historical}]"
"[{topicName:Mohenjo Daro},{},{genreName:Historical}]"
"[{topicName:Dictator},{},{industryName:Hollywood film}]"
"[{topicName:Doctor Strange},{},{industryName:Hollywood film}]"
"[{topicName:Gravity},{},{industryName:Hollywood film}]"
"[{topicName:Stuart Little},{},{industryName:Hollywood film}]"
"[{topicName:Cars},{},{industryName:Hollywood film}]"
"[{topicName:Lincoln Lawyer},{},{industryName:Hollywood film}]"
"[{topicName:Mission Impossible},{},{industryName:Hollywood film}]"
"[{topicName:Cindrella},{},{industryName:Hollywood film}]"
"[{topicName:Fast & Furious},{},{industryName:Hollywood film}]"
"[{topicName:The Walk},{},{industryName:Hollywood film}]"
"[{topicName:Prince of Persia},{},{industryName:Hollywood film}]"
